Mediterranean Avenueù,purple,60,2,30,10,30,90,160,250
Baltic Avenue,purple,60,4,30,20,60,180,320,450
Reading Railroad,rr,200,25,100,null,null,null,null,null 
Oriental Avenue,periwinkle,100,6,50,30,90,270,400,550
Vermont Avenue,periwinkle,100,6,50,30,90,270,400,550
Connecticut Avenue,periwinkle,120,8,60,40,100,300,450,600
St. Charles Place,magenta,140,10,70,50,150,450,625,750
Electric Company,utility,150,null,75,null,null,null,null,null
States Avenue,magenta,140,10,70,50,150,450,625,750
Virginia Avenue,magenta,160,12,80,60,180,500,700,900
Pennsylvania Railroad,rr,200,25,100,null,null,null,null,null
St. James Place,orange,180,14,90,70,200,550,750,950
Tennessee Avenue,orange,180,14,90,70,200,550,750,950
New York Avenue,orange,200,16,100,80,220,600,800,1000
Kentucky Avenue,red,220,18,110,90,250,700,875,1050
Indiana Avenue,red,220,18,110,90,250,700,875,1050
Illinois Avenue,red,240,20,120,100,300,750,925,1100
B&O Railroad,rr,200,25,100,null,null,null,null,null
Atlantic Avenue,yellow,260,22,130,110,330,800,975,1150
Ventnor Avenue,yellow,260,22,130,110,330,800,975,1150
Water Works,utility,150,null,75,null,null,null,null,null
Marvin Gardens,yellow,280,24,140,120,360,850,1025,1200
Pacific Avenue,green,300,26,150,130,390,900,1100,1275
North Carolina Avenueù,green,300,26,150,130,390,900,1100,1275
Pennsylvania Avenueù,green,320,28,160,150,450,1000,1200,1400
Short Line,rr,200,25,100,null,null,null,null,null
Park Place,blue,350,35,175,175,500,1100,1300,1500
Boardwalk,blue,400,50,200,200,600,1400,1700,2000
